ID,name,year,occ,loc,state,studentflag,SOC,main,sub
5983,Alex Hooper,2009,lawyer,"Cedar Key, Florida",florida,,23-1011,23,1011
93,Robert Kirkpatrick,2004,animator,"Miami Beach, Florida",florida,,27-1014,27,1014
7182,Ron Roberts,2011,poker impresario,"Pompano Beach, Florida",florida,,,9999,9999
8548,Stacie Larson,2013,public librarian,"Orlando, Florida",florida,,25-4021,25,4021
2749,Lionel Goldbart,1986,part-time newsstand clerk,"Miami Beach, Florida",florida,,,9999,9999
8291,Ryan Truchelut,2013,meterologist and graduate student,"Tallahassee, Florida",florida,,56-MiscStudent,56,MiscStudent
5842,Todd Hellman,2002,attorney,"Lakeland, Florida",florida,,23-1011,23,1011
3748,Anthony DiMarco,2000,government representative,"Tallahassee, Florida",florida,,,9999,9999
4625,Chris Dixon,2008,sales associate,"Fort Lauderdale, Florida",florida,,,9999,9999
7216,Raya Elias-Pushett,2011,junior,"Aventura, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
257,Orlando Zambrano,2005,junior,"Tampa, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
3680,Tom Sims,2000,construction estimator,"Winter Park, Florida",florida,,13-1051,13,1051
2512,Meighan Larbi,2006,publishing data manager,"Cape Coral, Florida",florida,,,9999,9999
5052,Darrin Gershman,2008,graduate student,"Coral Springs, Florida",florida,,56-GradStu,56,GradStu
8034,Susan Petracco,2012,e-commerce consultant,"Viera, Florida",florida,,59-Consultant,59,Consultant
4291,Natalie Tindall,2000,senior at Florida A&M,"Tallahassee, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
6231,Brian Johnson,1994,junior,the University of Florida,florida,TRUE,56-MiscStudent,56,MiscStudent
8866,Priscilla Emery,2014,records management consultant,"Longwood, Florida",florida,,59-Consultant,59,Consultant
1704,Erynn Masi de Casanova,2006,graduate student,"St. Petersburg, Florida",florida,,56-GradStu,56,GradStu
5268,Rebecca Goldman,2002,theatre teacher,"Clearwater, Florida",florida,,25-MiscTeacher,25,MiscTeacher
8735,John Emery,2013,graduate student of financial engineering,"Brandon, Florida",florida,,56-MiscStudent,56,MiscStudent
6759,Tatiana Walton,2010,graphic designer,"Cutler Bay, Florida",florida,,27-1024,27,1024
238,Mike Dup�e,1996,attorney,"Gainesville, Florida",florida,,23-1011,23,1011
230,Nancy Smith,1986,lawyer,"Gainesville, Florida",florida,,23-1011,23,1011
796,Peggi Malys,101990,medical student,"Orlando, Florida",florida,,11-MedicalStu,11,MedicalStu
2888,Allie Pape,2002,sophomore,"Ponte Vedra, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
4881,Tim Wilson,2008,college professor,"DeBary, Florida",florida,,25-Prof,25,Prof
3470,Ramon Flores,2002,human resources manager,"Sunrise, Florida",florida,,,9999,9999
1723,Judith Danovitch,2001,graduate student,"Coral Springs, Florida",florida,,56-GradStu,56,GradStu
7773,Trevor Bryan,2012,academic advisor,"Tallahassee, Florida",florida,,,9999,9999
7778,Eileen McQuiggan,2012,former teacher and stay-at-home mom,"Orlando, Florida",florida,,25-MiscTeacher,25,MiscTeacher
2556,Janet Marnane,2006,naval officer,"Daytona Beach, Florida",florida,,55-1019,55,1019
5010,John Brown,2008,middle school teacher,"Tampa, Florida",florida,,,9999,9999
5015,Danny Whitehurst,2008,naval officer,"Lithia, Florida",florida,,55-1019,55,1019
6524,Kim McShane,2004,freelance business writer,"Tallahassee, Florida",florida,,,9999,9999
6275,John Munson,2009,self-proclaimed gadabout,"Lakeland, Florida",florida,,,9999,9999
6279,Matthew Cohn,2000,12-year-old,"Sunrise, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
1302,"David Charlton, Jr.",1997,college student,"Port Charlotte, Florida",florida,,56-MiscStudent,56,MiscStudent
6474,Solomon Howard,2009,freshman,"St. Petersburg, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
5030,Jules Staniewicz,2008,investment manager,"Boca Raton, Florida",florida,,,9999,9999
312,Lionel Goldbart,1986,newsstand clerk,"South Miami Beach, Florida",florida,,,9999,9999
315,Steve Robin,1991,writer and producer,"Miami, Florida",florida,,,9999,9999
1337,Pat Ostenburg,1997,chemistry teacher,"Ocala, Florida",florida,,,9999,9999
7704,Michael McCall,2012,political consultant,"Pompano Beach, Florida",florida,,19-3094,19,3094
1091,Tom Streit,2005,real estate lawyer,"Jupiter, Florida",florida,,,9999,9999
1098,Alison Beightol,2005,labor and delivery registered nurse,"Lake City, Florida",florida,,,9999,9999
1322,Bruce Bullock,1997,office assistant,"Jacksonville, Florida",florida,,43-9061,43,9061
1320,Adam Weinstein,2005,graduate student,"Fort Lauderdale, Florida",florida,,56-GradStu,56,GradStu
5784,Laura Sturaitis,2002,marketing executive,"Fort Lauderdale, Florida",florida,,11-2021,11,2021
5787,Jerry Pyzansky,2009,legal assistant,"Boca Raton, Florida",florida,,23-2011,23,2011
6332,Enrique Machado,2009,oil filtration business developer,"Orlando, Florida",florida,,,9999,9999
1662,Kim Clemmer,2006,PC technician,"Leesburg, Florida",florida,,,9999,9999
592,Ted Kissell,2000,journalist,"Miami, Florida",florida,,27-3022CU,27,3022CU
1404,Nancy Splane,1997,homemaker,"Jacksonville, Florida",florida,,Unemployed,Unemployed,9999
694,Larry Caplan,1984,attorney,"Tamarac, Florida",florida,,23-1011,23,1011
5798,Marc Goldenberg,2002,economist,"Miami Beach, Florida",florida,,19-3011,19,3011
3269,Jeanne Davis,1999,systems analyst,"Valrico, Florida",florida,,,9999,9999
6103,Andrew Schwartz,2009,independent filmmaker,"Miami, Florida",florida,,,9999,9999
3415,Kristin Briggs,2007,senior,"Parkland, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
4864,Paul Risner,1999,lawyer,"Sarasota, Florida",florida,,23-1011,23,1011
1341,Mauricio Rivero,1997,tax auditor,"Hialeah, Florida",florida,,,9999,9999
4009,Lois Rothman,1986,social worker,"Miami, Florida",florida,,,9999,9999
3974,Andy Hutchins,2007,senior,"Rockledge, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
6446,Crystal Durham,2004,12-year-old,"Fort Pierce, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
4476,Mike Donilon,2007,finance manager,"Orlando, Florida",florida,,,9999,9999
8967,Thad McCollum,2014,door person,"Orlando, Florida",florida,,,9999,9999
5437,Kitty O'Rourke,2008,nurse,"Fort Walton Beach, Florida",florida,,,9999,9999
4279,Chris Jason,2007,U.S. Navy flight officer,"Sarasota, Florida",florida,,,9999,9999
5553,Jonathan Feuerman,2003,attorney,"Miami, Florida",florida,,23-1011,23,1011
5888,Jorge Rivero,2009,contamination control technician,"Sunrise, Florida",florida,,,9999,9999
6551,Patrick Macaraeg,2004,software engineer,"Largo, Florida",florida,,15-1131CU,15,1131CU
6124,Bob Sutton,1988,environmental chemist,"Gainesville, Florida",florida,,,9999,9999
6942,Joe Gallagher,2010,anthropology and botany student,"Orlando, Florida",florida,,56-MiscStudent,56,MiscStudent
8395,Jeff Lesemann,1993,flea merchant,"St. Petersburg, Florida",florida,,,9999,9999
8396,Trevor Walker,2013,sophomore at MIT,"Miami Shores, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
3197,Dan O'Rourke,2001,attorney,"Fort Walton Beach, Florida",florida,,23-1011,23,1011
3994,Tommy Maranges,2007,junior,"Fort Lauderdale, Florida",florida,TRUE,56-MiscStudent,56,MiscStudent
