ID,name,year,occ,loc,state,studentflag,SOC,main,sub
2302,Matt Giers,1993,political science student,"New Albany, Indiana",indiana,,56-MiscStudent,56,MiscStudent
6907,Dave Streit,1996,TV director and producer,"Indianapolis, Indiana",indiana,,,9999,9999
159,Eric Berman,1987,journalist,"Crown Point, Indiana",indiana,,27-3022CU,27,3022CU
6900,Kristina Glithero,2010,law student,"Indianapolis, Indiana",indiana,,23-LawStudent,23,LawStudent
3008,Jeff Granger,2001,orthopedic surgeon,"Logansport, Indiana",indiana,,29-1067,29,1067
9104,Maggie Davis,2014,violin and viola teacher,"Indianapolis, Indiana",indiana,,25-MiscTeacher,25,MiscTeacher
4789,Rich House,2008,English professor,"Terre Haute, Indiana",indiana,,,9999,9999
2766,Jason McCune,2002,actor,"Jasper, Indiana",indiana,,27-2099CU,27,2099CU
4044,Marc Hirsh,2000,study abroad program coordinator,"Indianapolis, Indiana",indiana,,,9999,9999
8928,Alex Sventeckis,2014,senior at Ball State University,"Fishers, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
452,Steve Hettinger,1998,waiter,"Evansville, Indiana",indiana,,,9999,9999
3957,Mike Kelley,1998,high school physics teacher,"Newburgh, Indiana",indiana,,25-2031,25,2031
5788,Lynne McKenna Frazier,2009,grant proposal writer,"Wayne, Indiana",indiana,,,9999,9999
8903,India Cooper,1991,copy editor,"Madison, Indiana",indiana,,27-3041,27,3041
3383,Tom Baldridge,1989,graduate student,"Indianapolis, Indiana",indiana,,56-GradStu,56,GradStu
5418,Michael Vance,2004,information security analyst,"Fishers, Indiana",indiana,,15-1122,15,1122
6315,Parker Morrison,2003,props master,"Noblesville, Indiana",indiana,,,9999,9999
6318,Jeremy Harmon,2003,travel accountant,"Muncie, Indiana",indiana,,,9999,9999
571,Kim Mihalick,1997,bartender,"Merrillville, Indiana",indiana,,35-3011,35,3011
600,Lois Kurowski,1991,doctoral student,"Elkhart, Indiana",indiana,,56-GradStu,56,GradStu
4275,William Garrett,2007,12-year-old,"Greenfield, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
2252,Melizza Zygmunt,1998,stay-at-home mom,"Valparaiso, Indiana",indiana,,StayAtHome,StayAtHome,9999
6497,Drusha Mussmann,2009,homemaker,"Spencerville, Indiana",indiana,,Unemployed,Unemployed,9999
4020,Bruce Ikawa,1991,college professor,"Indianapolis, Indiana",indiana,,25-Prof,25,Prof
8164,Kristin Durianski,2013,attorney,"Merrillville, Indiana",indiana,,23-1011,23,1011
1348,Davia Worthen,1997,teacher's aide,"Lafayette, Indiana",indiana,,25-MiscTeacher,25,MiscTeacher
375,Nancy Teri,1984,stockbroker,"Wanatah, Indiana",indiana,,41-3031,41,3031
7984,Paul Camp,2012,letter carrier,"Fort Wayne, Indiana",indiana,,43-5052,43,5052
8853,Marika Kuspa,2014,graduate student of biology,"South Bend, Indiana",indiana,,56-MiscStudent,56,MiscStudent
6966,Elizabeth Charland,1986,water engineer,"Mount Vernon, Indiana",indiana,,,9999,9999
8152,Eric Reiberg,2013,actor,"Indianapolis, Indiana",indiana,,27-2099CU,27,2099CU
7361,Michael Philpy,2011,policy analyst,"Lafayette, Indiana",indiana,,,9999,9999
5721,Emily Branson,2008,library assistant,"West Lafayette, Indiana",indiana,,43-4121,43,4121
7587,Julia Kozicki,2011,attorney,"Noblesville, Indiana",indiana,,23-1011,23,1011
2941,Jason McCune,2002,actor,"Jasper, Indiana",indiana,,27-2099CU,27,2099CU
2783,Kathi Weiss,1997,clinical social worker,"Fort Wayne, Indiana",indiana,,,9999,9999
6593,Matt Fisher,2004,attorney,"Indianapolis, Indiana",indiana,,23-1011,23,1011
7637,Mark Rupp,2012,stay-at-home dad,"Indianapolis, Indiana",indiana,,StayAtHome,StayAtHome,9999
4679,"Rachel ""Steve"" Cooke",2008,senior,"Fishers, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
1169,Emily Zhang,2005,,"Indianapolis, Indiana",indiana,,,9999,9999
7199,Milind Kulkarni,2011,assistant professor,"West Lafayette, Indiana",indiana,,25-Prof,25,Prof
18,Elaine Skopelja,2004,medical librarian,"Carmel, Indiana",indiana,,25-4021,25,4021
3757,Martin Hughes,2007,sociology professor,"Indiana, Pennsylvania",indiana,,,9999,9999
8224,Erin Schmidt,2013,freelance writer and editor,"Mishawaka, Indiana",indiana,,27-Writer,27,Writer
1558,Susan Kornblum,1992,civil engineering technician,"Brown County, Indiana",indiana,,17-3022,17,3022
6428,Sarah Wagner,2004,editor,"Indianapolis, Indiana",indiana,,,9999,9999
226,Jonathan Smillie,2005,software trainer,"Jeffersonville, Indiana",indiana,,,9999,9999
5812,Scott Quick,2002,writer,"Zionsville, Indiana",indiana,,27-Writer,27,Writer
145,Harry Sering,2004,retail manager,"Indianapolis, Indiana",indiana,,41-1012,41,1012
6249,Tayonna Jones,2009,12-year-old,"Indianapolis, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
7159,Deb Taub,1996,college professor,"Lafayette, Indiana",indiana,,25-Prof,25,Prof
7976,Alex Johnson,2012,11-year-old,"Indianapolis, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
6096,Joanna Lees,2009,clerical worker,"Fishers, Indiana",indiana,,,9999,9999
3675,Franklin Oliver,2000,graduate student,"Indianapolis, Indiana",indiana,,56-GradStu,56,GradStu
4422,Chris Kozey,2007,graduate student,"Indianapolis, Indiana",indiana,,56-GradStu,56,GradStu
4427,Linda Kampe Houtz,2002,substitute teacher,"Lafayette, Indiana",indiana,,25-3099,25,3099
8938,Lindsey Stallings,2014,lab technician,"Carmel, Indiana",indiana,,,9999,9999
1692,Melizza Zygmunt,1998,stay-at-home mom,"Valparaiso, Indiana",indiana,,StayAtHome,StayAtHome,9999
1803,Lizard Hogge,2006,welder,"Anderson, Indiana",indiana,,,9999,9999
3057,Anne Volk,2001,boarding school teacher,"LaPorte, Indiana",indiana,,25-MiscTeacher,25,MiscTeacher
3614,Catherine Allen,2007,copy editor,"DeMotte, Indiana",indiana,,27-3041,27,3041
3618,Kelly Knight,2007,mystery novelist,"Noblesville, Indiana",indiana,,,9999,9999
2565,Rachel Johnson,1997,sophomore,"Carmel, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
1411,Kathie Hoagland,1997,bookseller,"Anderson, Indiana",indiana,,41-bookseller,41,bookseller
8159,Susie Swithers,2013,professor of psychological sciences,"Zionsville, Indiana",indiana,,25-Prof,25,Prof
6930,Neal Eggeson,2010,professor of law,"Fishers, Indiana",indiana,,25-Prof,25,Prof
8347,Mary Graves,2013,online instructor,"Terre Haute, Indiana",indiana,,,9999,9999
3634,Carol Tilley,2007,library information science instructor,"Terre Haute, Indiana",indiana,,,9999,9999
947,Bill Warren,1989,restaurant owner,"Rockville, Indiana",indiana,,11-9051,11,9051
5542,Harry Barker,1996,computer graphics specialist,"Bloomington, Indiana",indiana,,15-Computer,15,Computer
8598,Allan Mason,1985,manufacturer,"Fort Wayne, Indiana",indiana,,,9999,9999
4665,Nick Philip,2008,junior,"Plainfield, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
7093,Ariel Schneider,2010,biology student,"West Lafayette, Indiana",indiana,,56-MiscStudent,56,MiscStudent
6482,Clinton Reese,2004,student,"West Lafayette, Indiana",indiana,,56-MiscStudent,56,MiscStudent
4018,Lois Kurowski,1991,doctoral fellow,"Elkhart, Indiana",indiana,,,9999,9999
6308,Robby Schrum,2003,junior at Yale University,"Crown Point, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
5522,Peg Hausman,1995,writer and editor,"Bloomington, Indiana",indiana,,27-Writer,27,Writer
7074,Harry Barker,1996,computer applications specialist,"Bloomington, Indiana",indiana,,15-Computer,15,Computer
6972,Gwen LaTray,1995,day care provider,"Portage, Indiana",indiana,,,9999,9999
3355,Allisson Seiler,2007,Ph.D. student and mother of twins,"Bloomington, Indiana",indiana,,56-MiscStudent,56,MiscStudent
7685,Sarah Bauer,2012,junior at Indiana University,"Carmel, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
7331,Larry DeMoss,2011,high school English teacher,"Ellettsville, Indiana",indiana,,25-2031,25,2031
53,K.C. Backer,2004,graduate student,"Bloomington, Indiana",indiana,,56-GradStu,56,GradStu
6349,Jillian Hinchliffe,2009,librarian and mechanical puzzles curator,"Bloomington, Indiana",indiana,,,9999,9999
1239,Antonia Wang,2005,sophomore at Purdue University,"Carmel, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
7557,Christopher Short,2011,pub trivia editor,"Crawfordsville, Indiana",indiana,,,9999,9999
7314,Sarah Canfield Fuller,2011,writing instructor,"Indianapolis, Indiana",indiana,,,9999,9999
7785,Cindy Vanderbur,2012,health insurance contract specialist,"Madison, Indiana",indiana,,,9999,9999
2663,Tracy Parrish Wolfe,2006,stay-at-home mom,"Carmel, Indiana",indiana,,StayAtHome,StayAtHome,9999
5905,Brian Andrews,2002,junior at DePaul University,"Crown Point, Indiana",indiana,TRUE,56-MiscStudent,56,MiscStudent
