ID,name,year,occ,loc,state,studentflag,SOC,main,sub
98,Kermin Fleming,2004,junior at Carnegie Mellon University,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
3433,Stephen Fritz,2007,sophomore,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
7219,Idrees Kahloon,2011,junior,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
5861,John Zhang,2003,junior,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
6239,Rachel Mills,2000,12-year-old,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
2096,Susan Haarman,2001,sophomore at Marquette University,"Louisville, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
939,Alex Stambaugh,2001,12-year-old,"Paris, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
2886,Evan Stewart,2002,sophomore,"Frankfort, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
4768,Matt Stull,2008,public relations professional,"Louisville, Kentucky",kentucky,,,9999,9999
1570,Iddoshe Hirpa,2006,junior,"Louisville, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
7963,Anna Cambron,2012,10-year-old,"Louisville, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
6256,Cate Heine,2009,12-year-old,"Louisville, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
475,John Zhang,2003,freshman at MIT,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
1580,Papa Chakravarthy,2006,sophomore,"Lexington, Kentucky",kentucky,TRUE,56-MiscStudent,56,MiscStudent
6416,Susan Durham,2004,gift shop manager,"Louisville, Kentucky",kentucky,,,9999,9999
5225,Tanya Tyler,2002,writer and editor,"Lexington, Kentucky",kentucky,,27-Writer,27,Writer
8338,Jamey Wiglesworth,2013,DJ and bar trivia host,"Versailles, Kentucky",kentucky,,,9999,9999
