ID,name,year,occ,loc,state,studentflag,SOC,main,sub
91,Ryan Cook,2004,graduate student,"Eveleth, Minnesota",minnesota,,56-GradStu,56,GradStu
94,Dave Oosterhuis,2004,graduate student,"Minneapolis, Minnesota",minnesota,,56-GradStu,56,GradStu
624,Brian Weikle,2003,consultant,"Minneapolis, Minnesota",minnesota,,59-Consultant,59,Consultant
4596,Jean Doolittle,2008,tech trainer,"Ham Lake, Minnesota",minnesota,,,9999,9999
7661,Kirby Burnett,2012,poker dealer,"Prior Lake, Minnesota",minnesota,,39-3011,39,3011
8719,Kathy Johnson,2013,restaurant manager,"Minnetonka, Minnesota",minnesota,,11-9051,11,9051
251,Bruce Simmons,1992,graduate student,"Minneapolis, Minnesota",minnesota,,56-GradStu,56,GradStu
6187,Sam Daub,2002,eleven-year-old,"Eden Prairie, Minnesota",minnesota,TRUE,56-MiscStudent,56,MiscStudent
2721,Bob Hansen,1987,proofreader,"St. Paul, Minnesota",minnesota,,43-9081,43,9081
4193,Kate Lowe,2000,internet copywriter,"Shoreview, Minnesota",minnesota,,,9999,9999
5677,Collette Ryder-Consugar,2003,grant specialist,"Rochester, Minnesota",minnesota,,,9999,9999
1728,Eric Heaton,2006,software engineer,"St. Cloud, Minnesota",minnesota,,15-1131CU,15,1131CU
1582,Jeff Pilgreen,1997,waiter,"Woodbury, Minnesota",minnesota,,,9999,9999
7771,Doug Zang,1996,environmental consultant,"Saint Paul, Minnesota",minnesota,,59-Consultant,59,Consultant
8077,Beth Youngers,2012,swim coach,"Rochester, Minnesota",minnesota,,,9999,9999
1449,Mary Keefe,2006,waitress,"Edina, Minnesota",minnesota,,,9999,9999
199,Mia Hasouris,2005,apherisis recruiter and graduate student,"St. Paul, Minnesota",minnesota,,56-MiscStudent,56,MiscStudent
3266,Alan Husby,2007,teacher,"Minneapolis, Minnesota",minnesota,,25-MiscTeacher,25,MiscTeacher
3386,Susan Stowe,1989,travel agent,"Plymouth, Minnesota",minnesota,,41-3041,41,3041
4234,Camille Brovold,2000,bank trust officer,"Eagan, Minnesota",minnesota,,,9999,9999
