ID,name,year,occ,loc,state,studentflag,SOC,main,sub
6777,David Hoskins,2010,guybrarian,"Jackson, Mississippi",mississippi,,,9999,9999
5829,Gail Flemmons,2009,history teacher,"Clinton, Mississippi",mississippi,,,9999,9999
2579,James Sumner,1997,senior,"Jackson, Mississippi",mississippi,TRUE,56-MiscStudent,56,MiscStudent
1680,Lawrence Brown,1998,customer service representative,"Pass Christian, Mississippi",mississippi,,,9999,9999
6945,Nora Corrigan,2010,English professor,"Columbus, Mississippi",mississippi,,,9999,9999
3813,Derek Mohr,1997,supply officer,"Ocean Springs, Mississippi",mississippi,,,9999,9999
8645,Sherry Schwabacher,1988,metaphysical bookstore clerk,"Bay Saint Louis, Mississippi",mississippi,,,9999,9999
1343,Christi Beard,2005,flight attendant,"Gulfport, Mississippi",mississippi,,,9999,9999
1042,Matthew Luter,2005,graduate student,"Laurel, Mississippi",mississippi,,56-GradStu,56,GradStu
260,Murdock Martin,1990,graduate student,"Moss Point, Mississippi",mississippi,,56-GradStu,56,GradStu
6425,Matt Blackwood,2009,middle school math teacher,"Gulfport, Mississippi",mississippi,,25-MiscTeacher,25,MiscTeacher
5644,Peter Pinnow,2008,high school English teacher,"Oxford, Mississippi",mississippi,,25-2031,25,2031
7285,Mickey McLaurin,2011,research and grants administrator,"Oxford, Mississippi",mississippi,,,9999,9999
3189,Joann Mickens,2001,consultant,"Jackson, Mississippi",mississippi,,59-Consultant,59,Consultant
6305,Jack Turner,2003,real estate lawyer,"Southaven, Mississippi",mississippi,,,9999,9999
1982,Michael Cryer,1999,software engineer,"Biloxi, Mississippi",mississippi,,15-1131CU,15,1131CU
994,Beth Mullins,1990,senior,"Mendenhall, Mississippi",mississippi,TRUE,56-MiscStudent,56,MiscStudent
5509,Debra Doyle,2003,customer service representative,"Walls, Mississippi",mississippi,,,9999,9999
4671,Katie Gill,2008,sophomore,"Jackson, Mississippi",mississippi,TRUE,56-MiscStudent,56,MiscStudent
8409,Mit Robertson,1993,senior,"Tupelo, Mississippi",mississippi,TRUE,56-MiscStudent,56,MiscStudent
1612,John Allen Bankson,1998,minister,"Hattiesburg, Mississippi",mississippi,,21-2011,21,2011
7419,Meg Walker,2011,eleven-year-old,"Brandon, Mississippi",mississippi,TRUE,56-MiscStudent,56,MiscStudent
4919,Joey Beachum,2008,senior,Mississippi State University,mississippi,TRUE,56-MiscStudent,56,MiscStudent
7255,Christine Varnado,2011,graduate instructor and Ph.D. student,"Hattiesburg, Mississippi",mississippi,,56-MiscStudent,56,MiscStudent
