ID,name,year,occ,loc,state,studentflag,SOC,main,sub
8549,Tory Metzger,1985,script reader,"Raleigh, North Carolina",north carolina,,,9999,9999
5843,Amanda Waterman,2002,software engineer,"Raleigh, North Carolina",north carolina,,15-1131CU,15,1131CU
4621,Andrew Sprouse,2008,historic preservationist,"Durham, North Carolina",north carolina,,,9999,9999
4629,Laura Bowen,1999,upper-school history teacher,"Wilmington, North Carolina",north carolina,,25-MiscTeacher,25,MiscTeacher
250,Caitlin Cook,2005,sophomore,"Arden, North Carolina",north carolina,TRUE,56-MiscStudent,56,MiscStudent
2516,Jennifer Czechowski,2006,English teacher,"Fayetteville, North Carolina",north carolina,,,9999,9999
8036,Keith Whitener,2012,research chemist,"Charlotte, North Carolina",north carolina,,,9999,9999
6181,Elena Botella,2002,eleven-year-old,"Charlotte, North Carolina",north carolina,TRUE,56-MiscStudent,56,MiscStudent
6233,Savannah Morgan,2009,12-year-old,"Charlotte, North Carolina",north carolina,TRUE,56-MiscStudent,56,MiscStudent
8867,Jon McGuire,2014,software-development manager,"Matthews, North Carolina",north carolina,,,9999,9999
8197,Keith Whitener,2012,research chemist,"Charlotte, North Carolina",north carolina,,,9999,9999
7141,Alex Marchyshyn,2011,recent college graduate,"Charlotte, North Carolina",north carolina,,58-RecentGrad,58,RecentGrad
8500,Britta Waller,2013,magazine and website editor,"Greensboro, North Carolina",north carolina,,,9999,9999
5809,Becky Cary,2002,graduate student,"Greensboro, North Carolina",north carolina,,56-GradStu,56,GradStu
6257,Andrew Bryson,2000,12-year-old,"Durham, North Carolina",north carolina,TRUE,56-MiscStudent,56,MiscStudent
5654,Michele Frankl,2008,volunteer,"Hendersonville, North Carolina",north carolina,,,9999,9999
3915,Pam Tyler,1998,professor of history,"Raleigh, North Carolina",north carolina,,25-Prof,25,Prof
3912,Ron Black,1985,attorney,"Winston-Salem, North Carolina",north carolina,,23-1011,23,1011
8078,Mary Folley,2012,statistician,"Charlotte, North Carolina",north carolina,,15-2041,15,2041
1443,Deb Abbey,1997,substitute teacher,"Patterson, North Carolina",north carolina,,25-3099,25,3099
5823,Jeff Lovingood,2003,middle school teacher,"Jacksonville, North Carolina",north carolina,,,9999,9999
1308,Scott Miskimon,1997,attorney,"Raleigh, North Carolina",north carolina,,23-1011,23,1011
2577,Jennifer Rehmann,1997,junior,"McGrady, North Carolina",north carolina,TRUE,56-MiscStudent,56,MiscStudent
5583,Barbara Long,2003,certified dog trainer,"Chapel Hill, North Carolina",north carolina,,,9999,9999
4436,Heather Mathewson Rainville,2007,business analyst,"Pittsboro, North Carolina",north carolina,,13-1111,13,1111
7101,Rich Zayatz,2010,emergency police dispatcher,"Asheville, North Carolina",north carolina,,,9999,9999
5593,Andy Vandiver,2003,director of operations,"McLeansville, North Carolina",north carolina,,,9999,9999
3043,Dave Mills,2007,think tank director,"Durham, North Carolina",north carolina,,,9999,9999
3956,Marguerite Hester,1998,computer trainer,"Raleigh, North Carolina",north carolina,,15-Computer,15,Computer
8352,Laurel Schultz,2013,physical scientist,"Durham, North Carolina",north carolina,,19-2099,19,2099
8904,Andrew Westney,1991,sports business writer,"Charlotte, North Carolina",north carolina,,,9999,9999
1661,Jacob Collins,2003,twelve-year-old seventh-grader,"Charlotte, North Carolina",north carolina,TRUE,56-MiscStudent,56,MiscStudent
1408,Robert Bethard,2005,registered nurse,"Asheville, North Carolina",north carolina,,29-1141,29,1141
4470,Andy Kingsbury,2007,radio producer,"Winterville, North Carolina",north carolina,,27-2012,27,2012
3411,David Honea,1990,junior,North Carolina State,north carolina,TRUE,56-MiscStudent,56,MiscStudent
3368,Bill Popper,2002,writer,"Burnsville, North Carolina",north carolina,,27-Writer,27,Writer
5559,Amy Flynn,2003,freelance illustrator,"Raleigh, North Carolina",north carolina,,,9999,9999
5880,Jeanie Welch,2009,retired librarian,"Charlotte, North Carolina",north carolina,,58-Retired,58,Retired
8790,Steven Durham,2013,writer and stay-at-home dad,"Asheville, North Carolina",north carolina,,StayAtHome,StayAtHome,9999
6943,Pamela Nelson,2010,newspaper copy editor and blogger,"Clayton, North Carolina",north carolina,,,9999,9999
6377,Jenifer Thomas,2009,teacher assistant,"Jacksonville, North Carolina",north carolina,,,9999,9999
5535,David Skaar,2008,research scientist,"Raleigh, North Carolina",north carolina,,,9999,9999
7989,Natalie Knowles,2012,marketing manager,"Raleigh, North Carolina",north carolina,,,9999,9999
8154,John Morgan,2013,elementary school art teacher,"Charlotte, North Carolina",north carolina,,25-MiscTeacher,25,MiscTeacher
1771,Debbie Thomas,1998,graduate student,"Tarboro, North Carolina",north carolina,,56-GradStu,56,GradStu
5513,A.V. Greene,2003,project manager,"Durham, North Carolina",north carolina,,57-ProjMgr,57,ProjMgr
