ID,name,year,occ,loc,state,studentflag,SOC,main,sub
92,Jennifer Peebles,2004,newspaper editor,"Madison, Tennessee",tennessee,,27-3041,27,3041
97,Amory Jendrek,2004,freshman at Davidson College,"Knoxville, Tennessee",tennessee,TRUE,56-MiscStudent,56,MiscStudent
2300,Jonathan Santore,1988,composer and graduate student,"Greeneville, Tennessee",tennessee,,56-MiscStudent,56,MiscStudent
5841,Richard Wiggs,2009,architect,"Memphis, Tennessee",tennessee,,,9999,9999
8849,Ilissa Gold,2014,attorney,"Nashville, Tennessee",tennessee,,23-1011,23,1011
7662,Elizabeth Edwards,2012,graduate student in museum studies,"Hendersonville, Tennessee",tennessee,,56-MiscStudent,56,MiscStudent
4668,Melissa Luttmann,2008,freshman,"Memphis, Tennessee",tennessee,TRUE,56-MiscStudent,56,MiscStudent
3021,Matt Bromund,2001,lawyer,"Nashville, Tennessee",tennessee,,23-1011,23,1011
8732,Jane Wanninger,2013,lecturer and academic advisor,"Nashville, Tennessee",tennessee,,,9999,9999
7143,Erik Lang,2011,mail room clerk,"Nashville, Tennessee",tennessee,,,9999,9999
6259,Michael Bergen,2000,12-year-old,"Clarksville, Tennessee",tennessee,TRUE,56-MiscStudent,56,MiscStudent
8882,Emalie Brooks,1987,former teacher,"Memphis, Tennessee",tennessee,,25-MiscTeacher,25,MiscTeacher
2552,Cathleen Charleson,2006,actor,"Greeneville, Tennessee",tennessee,,27-2099CU,27,2099CU
919,Laurie Parker,2005,writer and editor,"Franklin, Tennessee",tennessee,,27-Writer,27,Writer
4788,Jean Oswald,2008,adjunct English professor,"Hillsboro, Tennessee",tennessee,,25-Prof,25,Prof
3936,John Bunnell,1998,attorney,"Newport, Tennessee",tennessee,,23-1011,23,1011
6712,Kori Tyler,2009,high school history teacher,"Cordova, Tennessee",tennessee,,25-2031,25,2031
7296,Amy Fulton Stout,2011,community college professor of literature,"Oak Ridge, Tennessee",tennessee,,25-Prof,25,Prof
5204,Cathy Royal,2002,librarian,"Chattanooga, Tennessee",tennessee,,25-4021CU,25,4021CU
957,Carrie Pfeiffer,2001,high school history and government teacher,"Columbia, Tennessee",tennessee,,25-2031,25,2031
2015,Melinda Wittenburg,2001,early child-development specialist,"Chattanooga, Tennessee",tennessee,,,9999,9999
6920,Saad Hasan,2010,nanotechnology scientist,"Nashville, Tennessee",tennessee,,,9999,9999
2074,Ron Landers,2000,lawyer,"Chattanooga, Tennessee",tennessee,,23-1011,23,1011
7084,Judy Shewmake,2010,retired middle school history teacher,"Murfreesboro, Tennessee",tennessee,,58-Retired,58,Retired
6949,Markus Iturriaga,2010,IT administrator,"Knoxville, Tennessee",tennessee,,,9999,9999
2443,Donna Landry,1998,marketing coordinator,"Chattanooga, Tennessee",tennessee,,,9999,9999
8940,Claire Tuley,2014,paralegal,"Chattanooga, Tennessee",tennessee,,23-2011,23,2011
557,Beth Reardon,1997,school librarian,"Chattanooga, Tennessee",tennessee,,25-4021,25,4021
7980,Nancy Neff,1987,teacher,"Chattanooga, Tennessee",tennessee,,25-MiscTeacher,25,MiscTeacher
8858,Linda Lyle,1987,educational travel coordinator,"Knoxville, Tennessee",tennessee,,,9999,9999
7844,Scotti Whitmire,2012,systems administrator,"Knoxville, Tennessee",tennessee,,,9999,9999
7847,Rachel Donegan,2012,graduate student in English literature,"Mount Juliet, Tennessee",tennessee,,56-MiscStudent,56,MiscStudent
5706,Kevin Mallory,2003,library assistant,"Knoxville, Tennessee",tennessee,,43-4121,43,4121
1990,Dennis Thibodeaux,1999,computer consultant,"Nashville, Tennessee",tennessee,,15-1131CU,15,1131CU
1439,John Carroll,1997,international security consultant,"Chattanooga, Tennessee",tennessee,,59-Consultant,59,Consultant
5727,Rebecca Drinnon,2009,English teacher,"Morristown, Tennessee",tennessee,,,9999,9999
8084,Tim Norris,2012,assistant district attorney,"Knoxville, Tennessee",tennessee,,23-1011,23,1011
7588,Rich Beimer,2011,writer and actor,"Clarksville, Tennessee",tennessee,,,9999,9999
3851,Drew Reid,1998,musician and songwriter,"Franklin, Tennessee",tennessee,,,9999,9999
7,Adam Meyer,2004,college professor,"Nashville, Tennessee",tennessee,,25-Prof,25,Prof
8250,Kathy Hall,1989,teacher,"Johnson City, Tennessee",tennessee,,25-MiscTeacher,25,MiscTeacher
8439,David Moore,2013,operations manager,"Nashville, Tennessee",tennessee,,11-1021,11,1021
9043,Aimee Seligstein,2014,recruiter,"Memphis, Tennessee",tennessee,,,9999,9999
2969,Jody Callahan,2006,journalist,"Memphis, Tennessee",tennessee,,27-3022CU,27,3022CU
6844,Amy Watts,2010,college reference librarian,"Knoxville, Tennessee",tennessee,,,9999,9999
7630,Jennifer Green,2011,university librarian,"Paris, Tennessee",tennessee,,25-4021,25,4021
4106,George Dudley,2003,G.I.S. technician,"Memphis, Tennessee",tennessee,,,9999,9999
6628,Dan Campbell,2010,fiddler,"Murfreesboro, Tennessee",tennessee,,,9999,9999
6626,Pat Harder,2004,teacher,"Germantown, Tennessee",tennessee,,25-MiscTeacher,25,MiscTeacher
6820,Robin Poch�,2010,stay-at-home mom,"Collierville, Tennessee",tennessee,,StayAtHome,StayAtHome,9999
3190,Anne Fritz,2004,executive director,"Memphis, Tennessee",tennessee,,,9999,9999
5255,Gayle Gonzalez,2002,homemaker,"Clarksville, Tennessee",tennessee,,Unemployed,Unemployed,9999
4736,Jeff Harmon,2008,public defender,"Dunlap, Tennessee",tennessee,,23-1011,23,1011
