ID,name,year,occ,loc,state,studentflag,SOC,main,sub
8265,Lars Medley,2013,non-profit program coordinator,"Salt Lake City, Utah",utah,,,9999,9999
1226,Cynthia Edmunds,1996,office manager,"Salt Lake City, Utah",utah,,,9999,9999
6813,Brett Garner,2010,office manager,"Bountiful, Utah",utah,,,9999,9999
6255,Thulasi Seshan,2009,12-year-old,"Draper, Utah",utah,TRUE,56-MiscStudent,56,MiscStudent
7527,Jessie Christensen,2011,librarian,"Orem, Utah",utah,,25-4021CU,25,4021CU
1220,Maria Wenglinsky,2005,teacher,"Salt Lake City, Utah",utah,,25-MiscTeacher,25,MiscTeacher
2391,Danelle Johnson,2006,postal clerk,"Salt Lake City, Utah",utah,,43-5051,43,5051
661,Ken Jennings,2004,software engineer,"Salt Lake City, Utah",utah,,15-1131CU,15,1131CU
3895,Brian Wangsgard,1989,senior marketing representative,"Ogden, Utah",utah,,,9999,9999
7659,Russell Howes,2012,graduate student of mathematics,"Taylorsville, Utah",utah,,56-MiscStudent,56,MiscStudent
7224,Phil Nauss,1988,writer,"Salt Lake City, Utah",utah,,27-Writer,27,Writer
842,Brian Wangsgard,1989,senior marketing representative,"Ogden, Utah",utah,,,9999,9999
326,Brian Wangsgard,1989,,"Salt Lake City, Utah",utah,,,9999,9999
7535,Ryan McCune,2011,pathologist,"St. George, Utah",utah,,29-1069,29,1069
7871,Austin Baird,2012,start-up counsel,"Provo, Utah",utah,,,9999,9999
8234,Bill Atkinson,1995,student,"Mapleton, Utah",utah,,56-MiscStudent,56,MiscStudent
3820,Walter Kramer,1994,environmental scientist,"Salt Lake City, Utah",utah,,19-2041,19,2041
6179,Zane Li,2002,ten-year-old,"Provo, Utah",utah,TRUE,56-MiscStudent,56,MiscStudent
1,Ken Jennings,2004,software engineer,"Salt Lake City, Utah",utah,,15-1131CU,15,1131CU
5901,Adam Kay,2002,sophomore at Salt Lake Community College,"West Jordan, Utah",utah,TRUE,56-MiscStudent,56,MiscStudent
7417,Aria Gerson,2011,eleven-year-old,"Orem, Utah",utah,TRUE,56-MiscStudent,56,MiscStudent
