ID,name,year,occ,loc,state,studentflag,SOC,main,sub
5988,Peter Latouf,2009,state fair coordinator,"Utica, Michigan",michigan,,,9999,9999
5989,Evelyn Chester,2009,park ranger,"Washington, D.C",washington,,,9999,9999
5982,Sue Romberg,2009,homemaker and volunteer,"Grapevine, Texas",texas,,,9999,9999
5983,Alex Hooper,2009,lawyer,"Cedar Key, Florida",florida,,23-1011,23,1011
5980,Anthony Resnick,2009,law student,"Butler, Pennsylvania",pennsylvania,,23-LawStudent,23,LawStudent
5981,Stefanie Tomko,2009,software project manager,"Bellevue, Washington",washington,,,9999,9999
5986,Daniel Wilkinson,2009,graduate student,"Woodbury, Georgia",georgia,,56-GradStu,56,GradStu
5987,Liz Murphy,2009,foreign service officer,"Scranton, Pennsylvania",pennsylvania,,19-3094CU,19,3094CU
5984,Wright Polak,2009,tea salesman,"Yonkers, New York",new york,,,9999,9999
5985,Melanie Baker-Streevy,2009,United Methodist pastor,"Parma, Michigan",michigan,,,9999,9999
6796,Elizabeth Richards,2010,attorney,"St. Louis, Missouri",missouri,,23-1011,23,1011
6797,Ken Starnes,2010,telecommunications consultant,"Little Rock, Arkansas",arkansas,,59-Consultant,59,Consultant
6798,Rick Reed,2010,electrical engineer,"Charlottesville, Virginia",virginia,,17-2071,17,2071
6799,Amy Wilson,2010,creative writing and women's studies student,"Portland, Oregon",oregon,,56-MiscStudent,56,MiscStudent
270,Joann Chan,1991,senior,"Richmond, Virginia",virginia,TRUE,,9999,9999
271,Robert Fielding,1991,junior,"Arcadia, California",california,TRUE,,9999,9999
273,Richard Kaplan,1992,retired attorney,"Los Angeles, California",california,,,9999,9999
274,John Kelly,1992,retired military Air Force officer,"San Antonio, Texas",onio,,,9999,9999
275,Pat Gmeiner,1989,copywriter,"Rocky River, Ohio",ohio,,27-3043,27,3043
276,David Burnett,1989,freelance photographer,"New York, New York",new york,,27-4021CU,27,4021CU
278,Brad Rutter,2000,college student,"Lancaster, Pennsylvania",pennsylvania,,56-MiscStudent,56,MiscStudent
